Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","125","Cassava, fresh","2015","2015","ha","567998","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","125","Cassava, fresh","2015","2015","kg/ha","18908.5","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","125","Cassava, fresh","2015","2015","t","10740000","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","156","Sugar cane","2015","2015","ha","284262","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2015","2015","kg/ha","64508.3","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2015","2015","t","18337227.4","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2015","2015","ha","145634","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2015","2015","kg/ha","9881.8","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2015","2015","t","1439118.53","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2015","2015","ha","7828607","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2015","2015","kg/ha","5759.7","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2015","2015","t","45090561.89","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","56","Maize (corn)","2015","2015","ha","1164747","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","56","Maize (corn)","2015","2015","kg/ha","4539.4","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","56","Maize (corn)","2015","2015","t","5287261.1","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","125","Cassava, fresh","2016","2016","ha","569233","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","125","Cassava, fresh","2016","2016","kg/ha","19165.8","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","125","Cassava, fresh","2016","2016","t","10909799.61","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","156","Sugar cane","2016","2016","ha","256322","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2016","2016","kg/ha","63643.2","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2016","2016","t","16313144.85","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2016","2016","ha","146835","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2016","2016","kg/ha","10010.9","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2016","2016","t","1469959.88","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2016","2016","ha","7734722","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2016","2016","kg/ha","5573.8","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2016","2016","t","43112009.81","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","56","Maize (corn)","2016","2016","ha","1151830","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","56","Maize (corn)","2016","2016","kg/ha","4552.9","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","56","Maize (corn)","2016","2016","t","5244140.3","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","125","Cassava, fresh","2017","2017","ha","532501","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","125","Cassava, fresh","2017","2017","kg/ha","19281.8","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","125","Cassava, fresh","2017","2017","t","10267568.37","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","156","Sugar cane","2017","2017","ha","281149","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2017","2017","kg/ha","65290.6","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2017","2017","t","18356397.55","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2017","2017","ha","148106","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2017","2017","kg/ha","10122.7","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2017","2017","t","1499227.97","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2017","2017","ha","7708534","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2017","2017","kg/ha","5547.6","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2017","2017","t","42763682.38","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","56","Maize (corn)","2017","2017","ha","1099274","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","56","Maize (corn)","2017","2017","kg/ha","4648.3","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","56","Maize (corn)","2017","2017","t","5109765.58","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","125","Cassava, fresh","2018","2018","ha","513021","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","125","Cassava, fresh","2018","2018","kg/ha","19194.3","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","125","Cassava, fresh","2018","2018","t","9847074.37","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","156","Sugar cane","2018","2018","ha","269434","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2018","2018","kg/ha","66603.3","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2018","2018","t","17945203.68","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2018","2018","ha","154684","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2018","2018","kg/ha","10160.8","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2018","2018","t","1571708.5","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2018","2018","ha","7570741","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2018","2018","kg/ha","5818","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2018","2018","t","44046249.56","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","56","Maize (corn)","2018","2018","ha","1032598","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","56","Maize (corn)","2018","2018","kg/ha","4720.2","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","56","Maize (corn)","2018","2018","t","4874054.16","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","125","Cassava, fresh","2019","2019","ha","517775","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","125","Cassava, fresh","2019","2019","kg/ha","19651.1","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","125","Cassava, fresh","2019","2019","t","10174858.09","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","156","Sugar cane","2019","2019","ha","237800","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2019","2019","kg/ha","65961.4","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2019","2019","t","15685617.75","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2019","2019","ha","158959","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2019","2019","kg/ha","10550.2","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2019","2019","t","1677043.77","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2019","2019","ha","7451544","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2019","2019","kg/ha","5837.1","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2019","2019","t","43495487.58","A","Official figure",""
